run,sampled_lumi_MB,prescale_MB,livetime_MB,nevents_MB,sampled_lumi_HT2,prescale_HT2,livetime_HT2,nevents_HT2
15102012,0.0032098333333333,855.41601562,0.919028085544503,19259.0,2.62185322440885,1.0,0.877560969512119,70204.0
15102013,0.0023685,793.34002686,0.907484002592201,14211.0,1.79227165232156,1.0,0.865585670175692,47937.0
15102014,0.0030875,688.9119873,0.88620009633237,18525.0,2.03510925587741,1.0,0.847908159334309,55025.0
15102015,0.0029495,639.22808838,0.820061920052264,17697.0,1.79700002852787,1.0,0.781610669402411,48760.0
15102016,0.0022636666666666,600.58135986,0.651091712119749,13582.0,1.31032067192948,1.0,0.627531361613034,35667.0
15102017,0.0031316666666666,573.93469238,0.863210539890165,18790.0,1.70413833215556,1.0,0.81843383067008,46352.0
15102018,0.0031498333333333,548.07598877,0.866187110042456,18899.0,1.62225791458001,1.0,0.813960383197139,43927.0
15102019,0.0022171666666666,508.13601685,0.728113865051397,13303.0,1.06740610470885,1.0,0.689843638610332,29029.0
15102020,0.0031638333333333,485.22003174,0.848259308055313,18983.0,1.44146185956694,1.0,0.796488427773344,38922.0
15102021,6.66666666666667e-07,446.15866089,0.0059825194784014,4.0,0.0002451176700315,1.0,0.0049301561216105,6.0
15102022,0.0032998333333333,447.94137573,0.866789772397022,19799.0,1.38800154511105,1.0,0.81393653516295,37946.0
15102023,0.0023816666666666,430.78265381,0.849576854248999,14290.0,0.969811709808692,1.0,0.803065390943994,26355.0
15102024,1.66666666666667e-07,413.05734253,6.51290776908486e-05,1.0,8.60536130270833e-06,1.0,8.14113471135607e-06,1.0
15102026,0.0027716666666666,409.15335083,0.892209670158302,16630.0,1.06783856984672,1.0,0.840127920712207,29160.0
15102032,0.0040791666666666,905.40667725,0.911064516749713,24475.0,3.49202340032095,1.0,0.861412430793897,103152.0
15102033,0.0042146666666666,965.40136719,0.855312549868736,25288.0,3.87984223660145,1.0,0.8155822567004,111861.0
15102034,0.0031213333333333,1140.25341797,0.871347915827464,18728.0,3.44673221753367,1.0,0.843835140997831,97251.0
15102035,0.0029406666666666,1054.88000488,0.88544094509466,17644.0,3.00488330246118,1.0,0.857705810704306,83796.0
15102036,0.0035208333333333,957.90936279,0.91087110809782,21125.0,3.24407546695299,1.0,0.876149041483344,89211.0
15102037,0.003184,894.74395752,0.905450913028846,19104.0,2.7233372827663,1.0,0.86555468098898,74777.0
15102038,0.0032103333333333,845.40667725,0.920987722190748,19262.0,2.58763620079292,1.0,0.878094500193699,70265.0
15102039,0.0032931666666666,788.18664551,0.931349749570158,19759.0,2.47558317535093,1.0,0.888275209089475,67548.0
15102040,0.002647,744.42266846,0.922822428733478,15882.0,1.88610933732958,1.0,0.883306600438075,51215.0
15102041,0.000374,724.31604004,0.858538531240011,2244.0,0.261943301388093,1.0,0.830170664757131,6956.0
15102042,0.0011636666666666,717.35601807,0.876101974768873,6982.0,0.800786126999526,1.0,0.840442217206687,21970.0
15102043,0.0024375,694.15734863,0.842857576980872,14625.0,1.5874988005223,1.0,0.790797069271758,42741.0
15102044,0.0004228333333333,648.13598633,0.256317452566388,2537.0,0.183376852344426,1.0,0.171509167842031,4864.0
15102046,0.0001088333333333,618.79473877,0.419681037340475,653.0,0.028759061010494,1.0,0.179219600725953,789.0
15102047,0.0001133333333333,610.73602295,0.275405050338252,680.0,0.0442775478363596,1.0,0.176174992610109,1192.0
