run,sampled_lumi_VPDMB,prescale_VPDMB,lifetime_VPDMB,nevents_VPDMB,sampled_lumi_BHT2,prescale_BHT2,lifetime_BHT2,nevents_BHT2,BHT2_weight
13048009,2.3757542646527e-07,19035.40039062,0.848123105309077,5939.0,0.0395654769807857,1.0,0.903872388291889,75533.0,1595.096022564611
13048010,4.13913371651174e-08,18213.0,0.851827566469591,1034.0,0.0066439655863992,1.0,0.908634611187896,12721.0,1579.1317262397254
13048011,2.39200886257835e-07,17032.80078125,0.855821718223316,5980.0,0.0362467808804792,1.0,0.911579509071505,68586.0,1581.8417239139526
13048012,2.38773432574561e-07,16702.40039062,0.859613342301993,5969.0,0.0357487188378686,1.0,0.916199677064818,67777.0,1567.779979205634
13048013,2.34897360365171e-07,15781.59960938,0.842508042653101,5873.0,0.03354876634911,1.0,0.897873245427478,63568.0,1553.8655896553062
13048014,2.33595435930474e-07,15748.40039062,0.776801942802706,5839.0,0.033189624988846,1.0,0.823702381264932,63011.0,1547.4569273085813
13048015,2.34658764315139e-07,15019.0,0.802395243576891,5866.0,0.0321089665429825,1.0,0.853804049585614,60875.0,1539.976049171197
13048016,2.34865093728884e-07,14483.59960938,0.847810009997594,5871.0,0.0312405808521736,1.0,0.903322294626642,59407.0,1525.0888942852048
13048017,6.52476190048857e-08,14138.0,0.856414793043262,1631.0,0.0084865044335956,1.0,0.911931006910732,16151.0,1520.2686625842161
13048018,2.34374694357969e-07,13206.79980469,0.856381499839321,5860.0,0.0286633709385937,1.0,0.910193600702774,54086.0,1520.8166124178417
13048019,1.18786635253779e-07,13042.20019531,0.819360702185998,2969.0,0.0186782465008471,1.0,0.793388187754385,27310.0,1372.9349454213054
13048030,1.78230308341034e-07,26372.59960938,0.842336540744673,4455.0,0.0373667009708938,1.0,0.900759080330925,74281.0,1691.3984018362235
13048031,2.05780568753769e-07,24023.80078125,0.849773494342811,5144.0,0.0397194882234497,1.0,0.908019033777924,77821.0,1696.8272968902643
13048032,3.62926836177903e-08,22184.80078125,0.842848700848522,907.0,0.0065663926152712,1.0,0.907529429184867,12560.0,1724.980842491435
13048040,2.42767271039599e-07,20723.40039062,0.853355734266215,6069.0,0.0414667470159273,1.0,0.91113586004478,78807.0,1703.9874380569415
13048041,1.51744218212525e-07,19603.59960938,1.0,3553.0,0.021714514745,1.0,1.0,43565.0,1598.7969565506057
13048042,2.43140673053935e-07,18919.40039062,0.852320453440918,6078.0,0.038601325544201,1.0,0.909810126582278,72748.0,1687.3099276936782
13048043,1.43950421096056e-07,17992.0,0.833142289042523,3598.0,0.0219282356925236,1.0,0.89026140663738,41205.0,1678.7616930065237
13048044,3.53618081143293e-08,17517.40039062,0.847920917545117,884.0,0.0052729419931034,1.0,0.905771050141911,9854.0,1678.6975262605256
13048045,5.5595382671248e-08,17487.40039062,0.850475690445331,1390.0,0.0082637674102022,1.0,0.905339377170778,15633.0,1655.1876292113675
13048049,2.36358161443043e-07,16172.79980469,0.838828368854789,5908.0,0.0329242073717795,1.0,0.88995304893856,62017.0,1634.590343417828
13048050,2.34018315778554e-07,15720.79980469,0.858633546181008,5850.0,0.0320985742858434,1.0,0.915411601040344,60795.0,1612.7654106200252
13048051,2.64342020002815e-07,15174.20019531,0.842779285852361,6608.0,0.0353195882256249,1.0,0.898078019382686,66391.0,1609.410564858185
13048052,2.36496478688558e-07,14392.40039062,0.792802152956429,5912.0,0.0302058270536569,1.0,0.847246333433104,56834.0,1599.9422683209943
13048053,2.34845124745814e-07,14301.20019531,0.841708371017948,5871.0,0.0298714528169621,1.0,0.89576985985055,56074.0,1593.5211368079747
13048087,2.11237183019266e-07,28802.19921875,0.838758801463032,5281.0,0.049793836427446,1.0,0.896692564623874,99176.0,1639.614337941632
13048088,2.17660386064945e-07,25491.59960938,0.841465353908873,5442.0,0.0456099382946333,1.0,0.897469414431895,88241.0,1676.751186733861
13048089,2.24569022266518e-07,23563.0,0.845919367512884,5614.0,0.0440777435946155,1.0,0.902678706118139,83916.0,1682.1411949409908
13048090,2.267475017177e-07,22041.59960938,0.852825793894618,5669.0,0.0420702220150154,1.0,0.910259780335326,79959.0,1667.966173141003
13048091,2.25910894035604e-07,20843.0,0.823794246691828,5648.0,0.0400595583423627,1.0,0.878944796127351,75533.0,1662.8804481448328
13048092,2.17209511285623e-07,19805.59960938,0.782056371873368,5430.0,0.0367865916814392,1.0,0.831139095592444,69695.0,1639.9169503564108
13048093,5.25524567025525e-08,18398.19921875,0.776847700186476,1314.0,0.008281918029076,1.0,0.817404006677796,15916.0,1598.2239325407177
13049006,2.50332295446951e-07,23538.40039062,0.77132289413978,6258.0,0.0528598066479791,1.0,0.826088626360543,107928.0,1461.73550580609
13049007,9.313921759245951e-09,20730.40039062,0.296261810926358,233.0,0.0017685259772993,1.0,0.323402695022458,3554.0,1483.5908607249858
13049031,2.22173994450224e-07,14863.0,0.853614341595187,5554.0,0.030354722050753,1.0,0.91009461205865,57261.0,1537.0155637836358
13049032,1.01444680374943e-07,14483.0,0.852827352141867,2536.0,0.0134554064769286,1.0,0.905728053331401,25183.0,1548.9486238190495
13049035,2.28142871233704e-07,14219.0,0.802407535935926,5704.0,0.0298575999016421,1.0,0.854355890030377,56135.0,1538.3624235172506
