run,sampled_lumi_VPDMB,prescale_VPDMB,lifetime_VPDMB,nevents_VPDMB,sampled_lumi_JP2,prescale_JP2,lifetime_JP2,nevents_JP2,JP2_weight
13048009,2.3757542646527e-07,19035.40039062,0.848123105309077,5939.0,0.0395371256223484,1.0,0.903224702177187,105540.0,1140.762308483108
13048010,4.13913371651174e-08,18213.0,0.851827566469591,1034.0,0.0065931090170159,1.0,0.901679421768708,17294.0,1152.675439472358
13048011,2.39200886257835e-07,17032.80078125,0.855821718223316,5980.0,0.036188604528442,1.0,0.910116417201235,96125.0,1126.8459370266348
13048012,2.38773432574561e-07,16702.40039062,0.859613342301993,5969.0,0.0356586850172073,1.0,0.913892210948652,95107.0,1114.4480142776858
13048013,2.34897360365171e-07,15781.59960938,0.842508042653101,5873.0,0.0334888268135014,1.0,0.896269070036755,89354.0,1103.4721502935906
13048014,2.33595435930474e-07,15748.40039062,0.776801942802706,5839.0,0.0333607557960844,1.0,0.827949517334636,88523.0,1107.165014024242
13048015,2.34658764315139e-07,15019.0,0.802395243576891,5866.0,0.0320104178694981,1.0,0.851183558627439,83806.0,1115.1745355667322
13048016,2.34865093728884e-07,14483.59960938,0.847810009997594,5871.0,0.0311925907627799,1.0,0.901934659810388,82241.0,1099.9596266837943
13048017,6.52476190048857e-08,14138.0,0.856414793043262,1631.0,0.0084388662256168,1.0,0.906811966520262,22211.0,1099.2764103908662
13048018,2.34374694357969e-07,13206.79980469,0.856381499839321,5860.0,0.0286517838690095,1.0,0.909825658055379,74807.0,1099.1168746588935
13048019,1.18786635253779e-07,13042.20019531,0.819360702185998,2969.0,0.0162410649161582,1.0,0.689865028842384,37243.0,875.397701710472
13048030,1.78230308341034e-07,26372.59960938,0.842336540744673,4455.0,0.0373032772377166,1.0,0.89923019225455,114447.0,1095.9266199236035
13048031,2.05780568753769e-07,24023.80078125,0.849773494342811,5144.0,0.0396768560974515,1.0,0.907044429532296,116720.0,1130.115362494233
13048032,3.62926836177903e-08,22184.80078125,0.842848700848522,907.0,0.0064567571427112,1.0,0.892376905773557,18292.0,1164.6631328322612
13048040,2.42767271039599e-07,20723.40039062,0.853355734266215,6069.0,0.0413728191473437,1.0,0.90907201237206,109702.0,1221.3265164976144
13048041,1.51744218212525e-07,19603.59960938,1.0,3553.0,0.021714514745,1.0,1.0,59862.0,1163.5359562347924
13048042,2.43140673053935e-07,18919.40039062,0.852320453440918,6078.0,0.0385132085406556,1.0,0.907733261577789,94848.0,1291.2050776626882
13048043,1.43950421096056e-07,17992.0,0.833142289042523,3598.0,0.0218287059202918,1.0,0.886220611186628,53184.0,1294.739121956239
13048044,3.53618081143293e-08,17517.40039062,0.847920917545117,884.0,0.0052697572820613,1.0,0.905223989493652,12783.0,1293.2718910076087
13048045,5.5595382671248e-08,17487.40039062,0.850475690445331,1390.0,0.0082645277521478,1.0,0.9054226766478,20130.0,1285.5404368511468
13048049,2.36358161443043e-07,16172.79980469,0.838828368854789,5908.0,0.0328944110143904,1.0,0.88914764278842,81681.0,1239.9535690089401
13048050,2.34018315778554e-07,15720.79980469,0.858633546181008,5850.0,0.0319957450344144,1.0,0.912479038090784,80329.0,1216.6710857853498
13048051,2.64342020002815e-07,15174.20019531,0.842779285852361,6608.0,0.0353100811725508,1.0,0.897836281700457,88550.0,1206.3423563527047
13048052,2.36496478688558e-07,14392.40039062,0.792802152956429,5912.0,0.0300871087163688,1.0,0.843916390644253,74938.0,1208.6488987119596
13048053,2.34845124745814e-07,14301.20019531,0.841708371017948,5871.0,0.0297189582556061,1.0,0.891196930884192,73668.0,1206.751154382105
13048087,2.11237183019266e-07,28802.19921875,0.838758801463032,5281.0,0.0496822427737891,1.0,0.894682974548621,158932.0,1020.8514533771497
13048088,2.17660386064945e-07,25491.59960938,0.841465353908873,5442.0,0.0455900897603651,1.0,0.897078853666125,130294.0,1135.0776936327195
