run,sampled_lumi_VPDMB,prescale_VPDMB,lifetime_VPDMB,nevents_VPDMB,sampled_lumi_BHT2,prescale_BHT2,lifetime_BHT2,nevents_BHT2,BHT2_weight
13048009,3.796576e-05,127.11695099,0.90508824925658,949144.0,0.0395654769807857,1.0,0.903872388291889,75533.0,1595.1996035268673
13048010,6.87668e-06,117.03401184,0.909393098613884,171917.0,0.0066439655863992,1.0,0.908634611187896,12721.0,1580.3281844517023
13048011,4.188552e-05,103.82598114,0.913491282958305,1047138.0,0.0362467808804792,1.0,0.911579509071505,68586.0,1581.847584781933
13048012,4.236816e-05,100.36811066,0.91658681775786,1059204.0,0.0357487188378686,1.0,0.916199677064818,67777.0,1567.8681820933275
13048013,4.333596e-05,91.22914124,0.898518258264753,1083399.0,0.03354876634911,1.0,0.897873245427478,63568.0,1553.7158410195034
13048014,4.313404e-05,90.91260529,0.828044624948323,1078351.0,0.033189624988846,1.0,0.823702381264932,63011.0,1547.69170884689
13048015,4.46254e-05,84.17036438,0.855168859977622,1115635.0,0.0321089665429825,1.0,0.853804049585614,60875.0,1540.0992020688009
13048016,4.563532e-05,79.46669769,0.903836384092267,1140883.0,0.0312405808521736,1.0,0.903322294626642,59407.0,1525.2518570140314
13048017,1.284804e-05,76.53390503,0.912898026088802,321201.0,0.0084865044335956,1.0,0.911931006910732,16151.0,1520.446206029462
13048018,4.780944e-05,69.008255,0.912795868701751,1195236.0,0.0286633709385937,1.0,0.910193600702774,54086.0,1520.652426237004
13048019,2.4371e-05,67.73208618,0.873020596281177,609275.0,0.0186782465008471,1.0,0.793388187754385,27310.0,1373.2428645076395
13048030,1.90368e-05,263.72598267,0.899700594803155,475920.0,0.0373667009708938,1.0,0.900759080330925,74281.0,1691.686075683514
13048031,2.507876e-05,210.52140808,0.907526729350653,626969.0,0.0397194882234497,1.0,0.908019033777924,77821.0,1696.9969198629462
13048032,4.93744e-06,174.33831787,0.901093150047102,123436.0,0.0065663926152712,1.0,0.907529429184867,12560.0,1725.5839019650246
13048040,3.569028e-05,150.50765991,0.911145039910173,892257.0,0.0414667470159273,1.0,0.91113586004478,78807.0,1704.0384751311635
13048041,2.21074e-05,134.5582428,1.0,552685.0,0.021714514745,1.0,1.0,43565.0,1707.065819394422
13048042,3.908228e-05,125.64709473,0.909850987148602,977057.0,0.038601325544201,1.0,0.909810126582278,72748.0,1687.4534035456882
13048043,2.414988e-05,114.45292664,0.889136986600016,603747.0,0.0219282356925236,1.0,0.89026140663738,41205.0,1679.1165413300255
13048044,6.06128e-06,109.08151245,0.905037817607206,151532.0,0.0052729419931034,1.0,0.905771050141911,9854.0,1678.783365543662
13048045,9.54e-06,108.74959564,0.90755708674507,238500.0,0.0082637674102022,1.0,0.905339377170778,15633.0,1655.0501733583048
13048049,4.27126e-05,95.0255127,0.890663235534103,1067815.0,0.0329242073717795,1.0,0.88995304893856,62017.0,1634.854300451889
13048050,4.324044e-05,90.65010071,0.914832870825661,1081011.0,0.0320985742858434,1.0,0.915411601040344,60795.0,1612.891645894042
13048051,4.992012e-05,85.57178497,0.897528092411802,1248003.0,0.0353195882256249,1.0,0.898078019382686,66391.0,1609.5446418299182
13048052,4.614308e-05,78.68508148,0.845679666347581,1153577.0,0.0302058270536569,1.0,0.847246333433104,56834.0,1600.0537574547486
13048053,4.592524e-05,77.90901184,0.896699116534534,1148131.0,0.0298714528169621,1.0,0.89576985985055,56074.0,1593.555911083119
13048087,1.803872e-05,360.09820557,0.895504449007014,450968.0,0.049793836427446,1.0,0.896692564623874,99176.0,1639.5924729444675
13048088,2.409536e-05,245.98327637,0.898873871894264,602384.0,0.0456099382946333,1.0,0.897469414431895,88241.0,1676.6001040028827
13048089,2.815884e-05,200.69477844,0.903440115135828,703971.0,0.0440777435946155,1.0,0.902678706118139,83916.0,1682.2087792221691
13048090,3.105984e-05,171.83177185,0.910704305874236,776496.0,0.0420702220150154,1.0,0.910259780335326,79959.0,1667.8742402070684
13048091,3.298308e-05,152.32133484,0.878968470591397,824577.0,0.0400595583423627,1.0,0.878944796127351,75533.0,1662.8134238435039
13048092,3.342164e-05,137.30459595,0.834226644377195,835541.0,0.0367865916814392,1.0,0.831139095592444,69695.0,1639.9887630567448
13048093,8.6522e-06,119.23764801,0.828910221081613,216305.0,0.008281918029076,1.0,0.817404006677796,15916.0,1597.9945589008591
13049006,3.138476e-05,200.18565369,0.822420935083002,784619.0,0.0528598066479791,1.0,0.826088626360543,107928.0,1461.8073046690165
13049007,1.37044e-06,150.6131897,0.316707559693414,34261.0,0.0017685259772993,1.0,0.323402695022458,3554.0,1482.6233046700506
13049031,4.252184e-05,82.77916718,0.909903014379231,1063046.0,0.030354722050753,1.0,0.91009461205865,57261.0,1537.112384488535
13049032,1.971176e-05,79.46154022,0.909192183832071,492794.0,0.0134554064769286,1.0,0.905728053331401,25183.0,1549.0200912907228
13049035,4.472968e-05,77.21422577,0.854303437645441,1118242.0,0.0298575999016421,1.0,0.854355890030377,56135.0,1538.2469332892053
13049039,4.71588e-05,68.69824219,0.914801449609998,1178970.0,0.0282849455980905,1.0,0.913688376494881,53311.0,1517.409524896726
13049041,1.086296e-05,63.94635773,0.908701253180022,271574.0,0.0060862722623702,1.0,0.90774469433006,11663.0,1487.4292532464053
13049042,4.025712e-05,61.83962631,0.896877493724782,1006428.0,0.0219618111375956,1.0,0.896136160568353,41310.0,1505.342241685525
13049044,3.743408e-05,58.85899734,0.746960427281528,935852.0,0.0194268533145359,1.0,0.743850616981286,36587.0,1499.2752281796238
13049045,4.947084e-05,56.94299698,0.910264384435286,1236771.0,0.0249267522277484,1.0,0.908776455414199,46667.0,1506.6391463278164
13049046,4.93732e-05,56.95700073,0.911812902561381,1234330.0,0.0250409085489977,1.0,0.912546641791045,47156.0,1492.0754174978686
13049047,4.975764e-05,54.92100143,0.854441432257789,1243941.0,0.0242953873024713,1.0,0.851327069217235,45648.0,1491.181883883949
13049048,4.175376e-05,54.64899826,0.917188928252444,1043844.0,0.0203904721682818,1.0,0.91591354659781,38461.0,1481.1290900684828
13049049,3.96284e-05,51.85100174,0.69969471872006,990710.0,0.0186539177721686,1.0,0.70131922913247,34758.0,1481.344501812908
13049072,1.725964e-05,394.09631348,0.895499358496409,431491.0,0.0528178845773658,1.0,0.89393004032743,111906.0,1516.9071358783096
13049073,2.590184e-05,241.61694336,0.894698459968234,647546.0,0.0488950060132055,1.0,0.894375257932173,110864.0,1410.7516063165388
13049080,3.323792e-05,166.32563782,0.899420792294856,830948.0,0.0443717754788295,1.0,0.899155822683861,92806.0,1488.7748636257386
13049081,3.490696e-05,149.5223999,0.895580924693709,872674.0,0.0420092264092798,1.0,0.892678843681803,89644.0,1450.8665782054084
