run,sampled_lumi_MB,prescale_MB,livetime_MB,nevents_MB,sampled_lumi_JP2,prescale_JP2,livetime_JP2,nevents_JP2,JP2_weight
13051087,4.331844e-05,55.04200363,0.91636414713329,1082961.0,0.0203047603191557,1.0,0.913411631326283,51769.0,1147.7194040332727
13051091,5.270428e-05,51.15399933,0.911047221478333,1317607.0,0.0231146926241845,1.0,0.907631385068762,59354.0,1131.3164747210535
13051092,5.272996e-05,50.21299744,0.911420707659592,1318249.0,0.0227679271993679,1.0,0.907590044829185,58916.0,1118.7966985256503
13051093,5.29232e-05,49.58100128,0.915437200507741,1323080.0,0.0227190851833405,1.0,0.912332953889816,58724.0,1113.295805646826
13051099,3.11984e-05,184.08531189,0.858283813609052,779960.0,0.0016237532045702,1.0,0.031768125104492,150187.0,35.3850479186484
13051100,2.4668e-06,146.89405823,0.886311457240757,61670.0,0.0027314706374575,1.0,0.868823283082077,8740.0,1016.0424016953957
13052001,3.692472e-05,140.20175171,0.895818351910483,923118.0,0.0400669819509806,1.0,0.893578517221249,122921.0,1050.2612410238273
13052002,3.956948e-05,123.79009247,0.909215453383058,989237.0,0.0384047908871399,1.0,0.9085205210723,112461.0,1088.058462074758
13052003,4.138596e-05,112.17047882,0.895392136874437,1034649.0,0.0367460607229779,1.0,0.893599560049071,105693.0,1095.8599647084443
13052004,4.199136e-05,105.15812683,0.893322024710314,1049784.0,0.0353199711774117,1.0,0.892259486261277,103978.0,1060.4360016406645
13052005,3.355432e-05,100.715271,0.913246639808335,838858.0,0.0270846534053074,1.0,0.910142922465442,77982.0,1079.7194387548957
13052009,9.4884e-06,84.81652832,0.907416094285819,237210.0,0.0065283048159375,1.0,0.899184291505886,18721.0,1064.9437665235412
13052010,4.588732e-05,83.45298767,0.90565184586478,1147183.0,0.0313957887318395,1.0,0.903312399210713,90523.0,1054.853986485923
13052011,4.600384e-05,80.1015625,0.908263160921856,1150096.0,0.0304774839487514,1.0,0.907058373898701,90537.0,1016.1843879724438
13052012,4.644644e-05,77.48586273,0.900953382272042,1161161.0,0.0298573601462333,1.0,0.899892814528687,89274.0,1006.6497348563689
13052013,4.67492e-05,74.0247345,0.902607061622525,1168730.0,0.0288956811321832,1.0,0.898925530952548,89775.0,959.7555340556697
13052014,4.773472e-05,68.19547272,0.892606935239964,1193368.0,0.027506827495562,1.0,0.891466162603189,83803.0,969.8732313141224
13052015,9.5012e-06,66.49881744,0.909279361431401,237530.0,0.0053750305410005,1.0,0.905511811023622,16634.0,945.6544695025489
13052016,3.956824e-05,59.86100006,0.913421475572193,989206.0,0.0202390681971879,1.0,0.908358138575344,61948.0,950.581403458644
13052017,4.998092e-05,57.0320015,0.899946775129536,1249523.0,0.024680688747178,1.0,0.898077106366756,75662.0,939.9004364826012
13052018,5.056188e-05,50.5739975,0.912800645590843,1264047.0,0.0227071572773202,1.0,0.912486987160665,68625.0,931.2341388470924
13052019,5.143044e-05,49.77200317,0.894349147526873,1285761.0,0.022055063684967,1.0,0.892320844996622,64910.0,983.6660907929947
13052020,4.9546e-05,58.91399765,0.910237005311154,1238650.0,0.0258044871634126,1.0,0.909533273110509,75771.0,962.3392179588348
13052036,8.52868e-06,278.94442749,0.7927215626823,213217.0,0.0186985085070441,1.0,0.796033386114168,59872.0,997.5309142307303
13052037,2.321476e-05,248.41874695,0.84207544021038,580369.0,0.045367418930454,1.0,0.842185391715524,141418.0,1019.625259244905
13052039,2.694608e-05,202.30296326,0.912416181446825,673652.0,0.0432085351805638,1.0,0.910053064744836,124692.0,1090.116704438603
13052042,3.063028e-05,158.1178894,0.907586971613922,765757.0,0.038839880392007,1.0,0.905860028836115,109737.0,1101.2647663566142
13052043,3.220572e-05,145.50126648,0.906554599264397,805143.0,0.0379796208735141,1.0,0.9051416759969,105549.0,1108.1747954726331
13052045,3.361608e-05,133.16499329,0.912330989719751,840402.0,0.036453041277163,1.0,0.908981871452115,99649.0,1118.9405137973445
13052046,3.302388e-05,126.1107254,0.875236623117059,825597.0,0.0337749550084459,1.0,0.862464475158068,93550.0,1096.7106777448869
13052047,2.31812e-06,114.91175842,0.885411564970528,57953.0,0.0021698241838747,1.0,0.8728125,5898.0,1113.041588408813
13052048,3.583752e-05,112.08132172,0.890150587383966,895938.0,0.0332571667971856,1.0,0.88823890127218,91606.0,1093.8394630257567
13052050,3.729684e-05,104.00299835,0.849430381536311,932421.0,0.0323861897957165,1.0,0.850178739234473,88099.0,1101.7152909506294
13052051,3.758736e-05,102.40844727,0.884254873507288,939684.0,0.0320914323260153,1.0,0.881017572537801,86510.0,1108.3027485528369
13052052,3.83902e-05,96.46930695,0.868962875490172,959755.0,0.031237409126211,1.0,0.868671166706659,83611.0,1106.9813599693744
13052053,3.343112e-05,92.85760498,0.525144519559627,835778.0,0.0260090425008397,1.0,0.521581608914856,68654.0,1122.7575898191055
13052056,1.232436e-05,85.38624573,1.0,308109.0,0.00845678651,1.0,1.0,23640.0,1112.8710146203287
13052061,1.880552e-05,79.94171906,0.81851094873338,470138.0,0.000813813656356,1.0,0.0518422141326899,33984.0,70.04600841086791
13052088,1.984696e-05,320.19262695,0.908395218395012,496174.0,0.0489834868318527,1.0,0.907294742474386,137782.0,1151.665615300628
13053004,2.385728e-05,244.54724121,0.910578527587458,596432.0,0.0455016752907005,1.0,0.909222868174215,123839.0,1176.0322001923928
13053005,2.661028e-05,201.66056824,0.88947902224478,665257.0,0.0421642125509523,1.0,0.887936095917926,115325.0,1161.2693868160363
13053006,2.851312e-05,184.31221008,0.913661463140556,712828.0,0.0415581693628641,1.0,0.912663719711853,111874.0,1173.100365989708
13053007,3.123828e-05,154.1973877,0.908725097882987,780957.0,0.0385694392238364,1.0,0.905859193053688,103452.0,1160.3617926998786
13053012,3.319664e-05,137.61489868,0.909562396944165,829916.0,0.0370430788146376,1.0,0.909430153527048,98564.0,1158.5589177167458
13053013,2.520284e-05,129.14170837,0.916305472486348,630071.0,0.0265141892658085,1.0,0.914299732145225,69287.0,1171.797515482192
13053015,3.502852e-05,120.79118347,0.886825756785967,875713.0,0.0345921547488845,1.0,0.885040842436768,90295.0,1169.1179957610811
13053023,2.623824e-05,106.67500305,0.88622062651314,655956.0,0.0230971883338832,1.0,0.877231353124698,54859.0,1262.5883495153848
